date,value
2017-05-28,3
2017-06-04,8
2017-06-11,8
2017-06-18,7
2017-06-25,4
2017-07-02,6
2017-07-09,4
2017-07-16,4
2017-07-23,3
2017-07-30,4
2017-08-06,4
2017-08-13,4
2017-08-20,5
2017-08-27,10
2017-09-03,7
2017-09-10,6
2017-09-17,4
2017-09-24,4
2017-10-01,3
2017-10-08,5
2017-10-15,5
2017-10-22,4
2017-10-29,5
2017-11-05,7
2017-11-12,7
2017-11-19,9
2017-11-26,21
2017-12-03,33
2017-12-10,100
2017-12-17,55
2017-12-24,28
2017-12-31,26
2018-01-07,21
2018-01-14,17
2018-01-21,10
2018-01-28,11
2018-02-04,12
2018-02-11,17
2018-02-18,16
2018-02-25,9
2018-03-04,7
2018-03-11,6
2018-03-18,5
2018-03-25,6
2018-04-01,5
2018-04-08,4
2018-04-15,5
2018-04-22,5
2018-04-29,5
2018-05-06,4
2018-05-13,3
2018-05-20,3
